lat_const,lat_const_unit,e_tot,e_tot_unit
6.3375,a0,-11583.69789978,Ry
6.5,a0,-11583.70876206,Ry
6.175,a0,-11583.66968498,Ry
6.825,a0,-11583.69314666,Ry
6.6625,a0,-11583.70608625,Ry
