lat_const,lat_const_unit,e_tot,e_tot_unit
6.3375,a0,-11583.69790957,Ry
6.5,a0,-11583.7087684,Ry
6.175,a0,-11583.66969767,Ry
6.825,a0,-11583.69314251,Ry
6.6625,a0,-11583.70608558,Ry
