lat_const,lat_const_unit,e_tot,e_tot_unit
6.3375,a0,-11583.69789984,Ry
6.825,a0,-11583.69314668,Ry
6.5,a0,-11583.70876208,Ry
6.6625,a0,-11583.70608621,Ry
6.175,a0,-11583.669685,Ry
