lat_const,lat_const_unit,e_tot,e_tot_unit
6.3375,a0,-11583.69795747,Ry
6.825,a0,-11583.69317672,Ry
6.5,a0,-11583.70881984,Ry
6.6625,a0,-11583.7061241,Ry
6.175,a0,-11583.66973018,Ry
