lat_const,lat_const_unit,e_tot,e_tot_unit
6.3375,a0,-11583.69789973,Ry
6.825,a0,-11583.69314664,Ry
6.5,a0,-11583.70876213,Ry
6.6625,a0,-11583.7060863,Ry
6.175,a0,-11583.66968487,Ry
